rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit
15,C,lede,28304,19814,C,https://github.com/coolsnowwolf/lede,coolsnowwolf,653,2024-02-19T16:44:05Z
16,C,whisper.cpp,28088,2737,C,https://github.com/ggerganov/whisper.cpp,ggerganov,452,2024-02-19T19:40:22Z
17,C,rufus,26207,2513,C,https://github.com/pbatard/rufus,pbatard,10,2024-02-09T17:29:43Z
18,C,os-tutorial,26134,3248,C,https://github.com/cfenollosa/os-tutorial,cfenollosa,71,2023-10-26T02:33:22Z
19,C,the_silver_searcher,25549,1446,C,https://github.com/ggreer/the_silver_searcher,ggreer,427,2023-12-26T04:01:03Z
20,C,mpv,25222,2829,C,https://github.com/mpv-player/mpv,mpv-player,877,2024-02-19T23:12:55Z
21,C,darknet,25075,21435,C,https://github.com/pjreddie/darknet,pjreddie,1799,2023-11-30T05:41:57Z
22,C,stb,24532,7837,C,https://github.com/nothings/stb,nothings,129,2024-02-14T15:35:21Z
23,C,openssl,23744,10367,C,https://github.com/openssl/openssl,openssl,2006,2024-02-20T07:29:44Z
24,C,libuv,22895,3563,C,https://github.com/libuv/libuv,libuv,132,2024-02-20T02:50:13Z
25,C,TDengine,22567,4807,C,https://github.com/taosdata/TDengine,taosdata,1172,2024-02-20T07:24:35Z
26,C,masscan,22330,3067,C,https://github.com/robertdavidgraham/masscan,robertdavidgraham,348,2024-02-14T18:46:57Z
27,C,zstd,21780,2095,C,https://github.com/facebook/zstd,facebook,168,2024-02-19T05:35:51Z
28,C,The-Art-Of-Programming-By-July-2nd,21175,7165,C,https://github.com/julycoding/The-Art-Of-Programming-By-July-2nd,julycoding,47,2023-02-26T17:05:49Z
29,C,Tasmota,21072,4658,C,https://github.com/arendst/Tasmota,arendst,8,2024-02-19T16:44:31Z
30,C,How-to-Make-a-Computer-Operating-System,20811,3478,C,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse,44,2021-12-16T09:10:55Z
31,C,yabai,20360,616,C,https://github.com/koekeishiya/yabai,koekeishiya,178,2024-02-19T23:25:00Z
32,C,ExplorerPatcher,20124,920,C,https://github.com/valinet/ExplorerPatcher,valinet,120,2024-02-18T09:43:14Z
33,C,nginx,19857,6629,C,https://github.com/nginx/nginx,nginx,0,2024-02-14T16:16:19Z
34,C,hashcat,19365,2777,C,https://github.com/hashcat/hashcat,hashcat,257,2024-02-16T09:29:35Z
35,C,WindTerm,19342,1524,C,https://github.com/kingToolbox/WindTerm,kingToolbox,1493,2024-01-23T00:52:40Z
36,C,radare2,19283,2969,C,https://github.com/radareorg/radare2,radareorg,824,2024-02-20T07:01:53Z
37,C,HarmonyOS,19024,3333,C,https://github.com/Awesome-HarmonyOS/HarmonyOS,Awesome-HarmonyOS,0,2022-07-07T01:24:35Z
38,C,bcc,18943,3755,C,https://github.com/iovisor/bcc,iovisor,788,2024-02-18T16:30:23Z
39,C,mimikatz,18410,3583,C,https://github.com/gentilkiwi/mimikatz,gentilkiwi,134,2024-01-05T09:06:47Z
40,C,micropython,17990,7193,C,https://github.com/micropython/micropython,micropython,1416,2024-02-20T06:06:02Z
41,C,my-tv,17910,1770,C,https://github.com/lizongying/my-tv,lizongying,93,2024-02-19T08:55:43Z
42,C,nnn,17864,747,C,https://github.com/jarun/nnn,jarun,6,2024-02-18T01:03:33Z
43,C,raylib,17840,1882,C,https://github.com/raysan5/raylib,raysan5,16,2024-02-20T02:39:53Z
44,C,C,17700,4252,C,https://github.com/TheAlgorithms/C,TheAlgorithms,3,2024-02-15T07:46:19Z
45,C,openwrt,17655,9634,C,https://github.com/openwrt/openwrt,openwrt,2107,2024-02-20T06:58:08Z
46,C,goaccess,17242,1147,C,https://github.com/allinurl/goaccess,allinurl,378,2024-02-15T00:02:03Z
47,C,qmk_firmware,16683,35878,C,https://github.com/qmk/qmk_firmware,qmk,284,2024-02-20T08:01:35Z
48,C,timescaledb,16161,845,C,https://github.com/timescale/timescaledb,timescale,525,2024-02-20T07:36:25Z
49,C,ish,15562,847,C,https://github.com/ish-app/ish,ish-app,551,2024-02-20T06:17:19Z
50,C,HandBrake,15003,1233,C,https://github.com/HandBrake/HandBrake,HandBrake,261,2024-02-19T22:30:33Z
1,CSharp,PowerToys,102376,6313,C#,https://github.com/microsoft/PowerToys,microsoft,5451,2024-02-19T20:58:31Z
2,CSharp,v2rayN,58025,10386,C#,https://github.com/2dust/v2rayN,2dust,19,2024-02-20T08:04:25Z
3,CSharp,shadowsocks-windows,57764,16853,C#,https://github.com/shadowsocks/shadowsocks-windows,shadowsocks,159,2023-10-24T01:11:51Z
4,CSharp,PowerShell,42836,7853,C#,https://github.com/PowerShell/PowerShell,PowerShell,802,2024-02-19T15:40:04Z
5,CSharp,aspnetcore,33718,9682,C#,https://github.com/dotnet/aspnetcore,dotnet,2928,2024-02-19T19:13:53Z
6,CSharp,Files,31065,2114,C#,https://github.com/files-community/Files,files-community,388,2024-02-20T03:14:08Z
7,CSharp,jellyfin,28214,2608,C#,https://github.com/jellyfin/jellyfin,jellyfin,448,2024-02-19T18:43:14Z
8,CSharp,ShareX,26862,3078,C#,https://github.com/ShareX/ShareX,ShareX,503,2024-02-15T05:54:30Z
9,CSharp,Ryujinx,26465,2511,C#,https://github.com/Ryujinx/Ryujinx,Ryujinx,664,2024-02-19T22:27:26Z
10,CSharp,RevokeMsgPatcher,25192,3111,C#,https://github.com/huiyadanli/RevokeMsgPatcher,huiyadanli,51,2023-12-13T17:06:24Z
11,CSharp,dnSpy,24949,4922,C#,https://github.com/dnSpy/dnSpy,dnSpy,0,2020-12-20T23:55:15Z
12,CSharp,eShopOnContainers,24599,10555,C#,https://github.com/dotnet-architecture/eShopOnContainers,dotnet-architecture,46,2023-11-15T22:27:17Z
13,CSharp,Avalonia,23023,2062,C#,https://github.com/AvaloniaUI/Avalonia,AvaloniaUI,1256,2024-02-20T07:49:42Z
14,CSharp,CodeHub,22910,679,C#,https://github.com/CodeHubApp/CodeHub,CodeHubApp,234,2022-06-22T16:14:05Z
15,CSharp,WaveFunctionCollapse,22484,1280,C#,https://github.com/mxgmn/WaveFunctionCollapse,mxgmn,3,2024-01-29T01:06:50Z
16,CSharp,ScreenToGif,22166,2133,C#,https://github.com/NickeManarin/ScreenToGif,NickeManarin,248,2024-02-15T23:09:29Z
17,CSharp,maui,21281,1583,C#,https://github.com/dotnet/maui,dotnet,3230,2024-02-20T07:54:21Z
18,CSharp,DevToys,20885,1153,C#,https://github.com/veler/DevToys,veler,172,2024-02-20T04:30:08Z
19,CSharp,ILSpy,19694,3267,C#,https://github.com/icsharpcode/ILSpy,icsharpcode,202,2024-02-18T08:34:39Z
20,CSharp,awesome-dotnet-core,18921,2846,C#,https://github.com/thangchung/awesome-dotnet-core,thangchung,19,2024-02-14T13:07:13Z
21,CSharp,roslyn,18292,4045,C#,https://github.com/dotnet/roslyn,dotnet,8448,2024-02-20T02:29:40Z
22,CSharp,downkyi,17809,2051,C#,https://github.com/leiurayer/downkyi,leiurayer,573,2024-02-08T03:45:35Z
23,CSharp,SteamTools,17378,1089,C#,https://github.com/BeyondDimension/SteamTools,BeyondDimension,734,2024-02-20T08:03:46Z
24,CSharp,Dapper,16905,3677,C#,https://github.com/DapperLib/Dapper,DapperLib,398,2024-02-18T15:14:09Z
25,CSharp,semantic-kernel,16828,2494,C#,https://github.com/microsoft/semantic-kernel,microsoft,486,2024-02-20T07:14:40Z
26,CSharp,ml-agents,16021,4058,C#,https://github.com/Unity-Technologies/ml-agents,Unity-Technologies,12,2024-02-16T12:06:20Z
27,CSharp,QuickLook,15835,1061,C#,https://github.com/QL-Win/QuickLook,QL-Win,420,2024-02-13T11:51:54Z
28,CSharp,netch,15727,2661,C#,https://github.com/netchx/netch,netchx,6,2024-02-01T00:10:57Z
29,CSharp,CleanArchitecture,15076,3284,C#,https://github.com/jasontaylordev/CleanArchitecture,jasontaylordev,25,2024-02-16T19:20:56Z
30,CSharp,CleanArchitecture,14410,2545,C#,https://github.com/ardalis/CleanArchitecture,ardalis,32,2024-02-19T20:42:46Z
31,CSharp,MaterialDesignInXamlToolkit,14405,3397,C#,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,MaterialDesignInXAML,171,2024-02-17T20:48:20Z
32,CSharp,PEASS-ng,14359,2941,C#,https://github.com/carlospolop/PEASS-ng,carlospolop,20,2024-02-18T20:11:54Z
33,CSharp,server,13992,1204,C#,https://github.com/bitwarden/server,bitwarden,70,2024-02-20T03:32:49Z
34,CSharp,osu,13951,2115,C#,https://github.com/ppy/osu,ppy,1149,2024-02-20T07:06:25Z
35,CSharp,OpenRA,13903,2660,C#,https://github.com/OpenRA/OpenRA,OpenRA,1465,2024-02-19T11:27:37Z
36,CSharp,runtime,13678,4470,C#,https://github.com/dotnet/runtime,dotnet,8651,2024-02-20T07:56:25Z
37,CSharp,CMWTAT_Digital_Edition,13413,1808,C#,https://github.com/TGSAN/CMWTAT_Digital_Edition,TGSAN,24,2023-10-07T03:09:31Z
38,CSharp,lively,13367,1016,C#,https://github.com/rocksdanister/lively,rocksdanister,283,2023-12-28T04:22:41Z
39,CSharp,N_m3u8DL-CLI,13146,2077,C#,https://github.com/nilaoda/N_m3u8DL-CLI,nilaoda,246,2023-06-03T09:30:55Z
40,CSharp,efcore,13143,3087,C#,https://github.com/dotnet/efcore,dotnet,1985,2024-02-19T14:01:00Z
41,CSharp,Polly,12779,1133,C#,https://github.com/App-vNext/Polly,App-vNext,10,2024-02-19T15:20:21Z
42,CSharp,AssetStudio,12219,2386,C#,https://github.com/Perfare/AssetStudio,Perfare,177,2022-12-08T15:37:37Z
43,CSharp,AspNetCore.Docs,12219,25535,C#,https://github.com/dotnet/AspNetCore.Docs,dotnet,480,2024-02-19T23:49:38Z
44,CSharp,abp,12011,3293,C#,https://github.com/abpframework/abp,abpframework,471,2024-02-20T07:57:25Z
45,CSharp,aspnetboilerplate,11457,3774,C#,https://github.com/aspnetboilerplate/aspnetboilerplate,aspnetboilerplate,162,2024-02-19T07:32:59Z
46,CSharp,UnityCsReference,11187,2484,C#,https://github.com/Unity-Technologies/UnityCsReference,Unity-Technologies,0,2024-02-14T22:27:40Z
47,CSharp,optimizer,11080,783,C#,https://github.com/hellzerg/optimizer,hellzerg,10,2024-02-11T06:58:35Z
48,CSharp,winsw,10914,1489,C#,https://github.com/winsw/winsw,winsw,183,2024-02-06T23:43:04Z
49,CSharp,mono,10765,3880,C#,https://github.com/mono/mono,mono,2154,2024-02-14T00:50:19Z
50,CSharp,basic-computer-games,10725,1329,C#,https://github.com/coding-horror/basic-computer-games,coding-horror,16,2024-01-11T01:07:05Z
1,CPP,tensorflow,180771,89455,C++,https://github.com/tensorflow/tensorflow,tensorflow,1891,2024-02-20T07:53:14Z
2,CPP,react-native,114391,24247,C++,https://github.com/facebook/react-native,facebook,844,2024-02-20T07:56:56Z
3,CPP,electron,110656,15526,C++,https://github.com/electron/electron,electron,844,2024-02-20T06:48:44Z
4,CPP,terminal,92786,8338,C++,https://github.com/microsoft/terminal,microsoft,1465,2024-02-20T07:38:10Z
5,CPP,godot,80855,17437,C++,https://github.com/godotengine/godot,godotengine,9643,2024-02-20T08:03:25Z
6,CPP,opencv,74135,55891,C++,https://github.com/opencv/opencv,opencv,2409,2024-02-20T06:30:04Z
7,CPP,bitcoin,74060,36840,C++,https://github.com/bitcoin/bitcoin,bitcoin,361,2024-02-19T21:06:11Z
8,CPP,swift,65367,10480,C++,https://github.com/apple/swift,apple,6292,2024-02-20T08:01:13Z
9,CPP,protobuf,62936,15463,C++,https://github.com/protocolbuffers/protobuf,protocolbuffers,578,2024-02-20T07:52:56Z
10,CPP,gpt4all,61370,6898,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,339,2024-02-19T15:37:22Z
11,CPP,tesseract,56593,9071,C++,https://github.com/tesseract-ocr/tesseract,tesseract-ocr,391,2024-02-17T17:57:29Z
12,CPP,imgui,54108,9612,C++,https://github.com/ocornut/imgui,ocornut,820,2024-02-20T06:15:53Z
13,CPP,llama.cpp,51004,7326,C++,https://github.com/ggerganov/llama.cpp,ggerganov,991,2024-02-20T07:48:19Z
14,CPP,x64dbg,42717,2341,C++,https://github.com/x64dbg/x64dbg,x64dbg,573,2024-02-20T02:00:43Z
15,CPP,Magisk,42573,10980,C++,https://github.com/topjohnwu/Magisk,topjohnwu,20,2024-02-19T10:14:13Z
16,CPP,grpc,40240,10741,C++,https://github.com/grpc/grpc,grpc,591,2024-02-20T06:22:20Z
17,CPP,json,39148,6686,C++,https://github.com/nlohmann/json,nlohmann,72,2024-02-06T17:02:39Z
18,CPP,CPlusPlusThings,35720,8245,C++,https://github.com/Light-City/CPlusPlusThings,Light-City,7,2024-02-18T13:10:31Z
19,CPP,leveldb,34572,7717,C++,https://github.com/google/leveldb,google,209,2024-02-16T15:21:45Z
20,CPP,caffe,33768,18975,C++,https://github.com/BVLC/caffe,BVLC,896,2023-11-22T06:10:02Z
21,CPP,yuzu,33596,2891,C++,https://github.com/yuzu-emu/yuzu,yuzu-emu,1740,2024-02-20T05:03:06Z
22,CPP,ClickHouse,33108,6494,C++,https://github.com/ClickHouse/ClickHouse,ClickHouse,3272,2024-02-20T07:48:58Z
23,CPP,aria2,32910,3453,C++,https://github.com/aria2/aria2,aria2,1005,2024-02-16T12:12:12Z
24,CPP,googletest,32133,10142,C++,https://github.com/google/googletest,google,259,2024-02-15T00:12:56Z
25,CPP,interview,32021,7789,C++,https://github.com/huihut/interview,huihut,22,2023-11-27T02:41:03Z
26,CPP,carbon-lang,31985,1515,C++,https://github.com/carbon-language/carbon-lang,carbon-language,107,2024-02-17T00:19:34Z
27,CPP,ImHex,31859,1609,C++,https://github.com/WerWolv/ImHex,WerWolv,187,2024-02-19T23:10:09Z
28,CPP,TrafficMonitor,31247,3087,C++,https://github.com/zhongyang219/TrafficMonitor,zhongyang219,964,2023-12-20T13:58:36Z
29,CPP,phantomjs,29382,5875,C++,https://github.com/ariya/phantomjs,ariya,14,2022-11-26T19:43:12Z
30,CPP,openpose,29326,7798,C++,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab,283,2024-02-03T12:00:16Z
31,CPP,C-Plus-Plus,28615,7009,C++,https://github.com/TheAlgorithms/C-Plus-Plus,TheAlgorithms,9,2024-02-14T18:53:04Z
32,CPP,calculator,28531,5258,C++,https://github.com/microsoft/calculator,microsoft,305,2024-02-10T21:39:06Z
33,CPP,serenity,27574,2995,C++,https://github.com/SerenityOS/serenity,SerenityOS,695,2024-02-20T03:13:36Z
34,CPP,rocksdb,26941,6151,C++,https://github.com/facebook/rocksdb,facebook,576,2024-02-19T12:10:10Z
35,CPP,faiss,26889,3339,C++,https://github.com/facebookresearch/faiss,facebookresearch,405,2024-02-18T10:16:15Z
36,CPP,folly,26775,5660,C++,https://github.com/facebook/folly,facebook,359,2024-02-19T16:02:47Z
37,CPP,rethinkdb,26453,1907,C++,https://github.com/rethinkdb/rethinkdb,rethinkdb,1340,2023-12-16T00:54:33Z
38,CPP,aseprite,25687,3822,C++,https://github.com/aseprite/aseprite,aseprite,1472,2024-02-19T15:01:34Z
39,CPP,cmder,25446,2092,C++,https://github.com/cmderdev/cmder,cmderdev,34,2024-02-19T13:40:32Z
40,CPP,xgboost,25320,8721,C++,https://github.com/dmlc/xgboost,dmlc,357,2024-02-20T07:32:33Z
41,CPP,mongo,25115,5540,C++,https://github.com/mongodb/mongo,mongodb,0,2024-02-20T03:03:19Z
42,CPP,emscripten,24882,3268,C++,https://github.com/emscripten-core/emscripten,emscripten-core,1621,2024-02-19T23:00:31Z
43,CPP,mediapipe,24828,4956,C++,https://github.com/google/mediapipe,google,234,2024-02-20T01:48:17Z
44,CPP,taichi,24413,2313,C++,https://github.com/taichi-dev/taichi,taichi-dev,728,2024-02-20T02:05:18Z
45,CPP,qBittorrent,24165,3780,C++,https://github.com/qbittorrent/qBittorrent,qbittorrent,2731,2024-02-19T22:47:11Z
46,CPP,apollo,24052,9567,C++,https://github.com/ApolloAuto/apollo,ApolloAuto,683,2024-02-19T19:46:44Z
47,CPP,tdesktop,23927,4936,C++,https://github.com/telegramdesktop/tdesktop,telegramdesktop,784,2024-02-19T10:31:09Z
48,CPP,DeepSpeech,23873,3940,C++,https://github.com/mozilla/DeepSpeech,mozilla,115,2024-02-18T05:01:17Z
49,CPP,srs,23718,5254,C++,https://github.com/ossrs/srs,ossrs,176,2024-02-19T14:25:23Z
50,CPP,envoy,23504,4657,C++,https://github.com/envoyproxy/envoy,envoyproxy,1520,2024-02-20T07:27:18Z
1,CoffeeScript,SwitchyOmega,20408,3111,CoffeeScript,https://github.com/FelisCatus/SwitchyOmega,FelisCatus,694,2023-12-08T19:04:03Z
2,CoffeeScript,mojs,18208,946,CoffeeScript,https://github.com/mojs/mojs,mojs,36,2024-02-02T22:33:33Z
3,CoffeeScript,coffeescript,16408,2070,CoffeeScript,https://github.com/jashkenas/coffeescript,jashkenas,68,2023-09-19T15:59:28Z
4,CoffeeScript,zxcvbn,14473,961,CoffeeScript,https://github.com/dropbox/zxcvbn,dropbox,106,2024-02-12T11:00:00Z
5,CoffeeScript,dynamics.js,7572,459,CoffeeScript,https://github.com/michaelvillar/dynamics.js,michaelvillar,8,2019-02-26T06:19:21Z
6,CoffeeScript,morris.js,6941,1246,CoffeeScript,https://github.com/morrisjs/morris.js,morrisjs,286,2021-10-07T12:56:12Z
7,CoffeeScript,At.js,5300,692,CoffeeScript,https://github.com/ichord/At.js,ichord,151,2021-11-18T12:53:24Z
8,CoffeeScript,node-xml2js,4791,615,CoffeeScript,https://github.com/Leonidas-from-XIV/node-xml2js,Leonidas-from-XIV,193,2023-07-30T10:41:35Z
9,CoffeeScript,aglio,4740,485,CoffeeScript,https://github.com/danielgtaylor/aglio,danielgtaylor,124,2019-05-13T14:40:13Z
10,CoffeeScript,vibrant.js,4609,239,CoffeeScript,https://github.com/jariz/vibrant.js,jariz,0,2017-11-28T15:50:23Z
11,CoffeeScript,bootstrap-tour,4420,950,CoffeeScript,https://github.com/sorich87/bootstrap-tour,sorich87,174,2023-10-09T22:35:49Z
12,CoffeeScript,pivottable,4279,1074,CoffeeScript,https://github.com/nicolaskruchten/pivottable,nicolaskruchten,361,2024-01-06T13:46:24Z
13,CoffeeScript,yakyak,3812,330,CoffeeScript,https://github.com/yakyak/yakyak,yakyak,87,2023-12-19T14:51:44Z
14,CoffeeScript,node-csv,3787,270,CoffeeScript,https://github.com/adaltas/node-csv,adaltas,41,2024-02-12T11:19:48Z
15,CoffeeScript,activate-power-mode,3562,427,CoffeeScript,https://github.com/JoelBesada/activate-power-mode,JoelBesada,50,2019-05-24T15:52:02Z
16,CoffeeScript,turbolinks-classic,3554,434,CoffeeScript,https://github.com/turbolinks/turbolinks-classic,turbolinks,40,2017-12-06T23:33:26Z
17,CoffeeScript,jquery.payment,3544,707,CoffeeScript,https://github.com/stripe-archive/jquery.payment,stripe-archive,0,2017-08-02T14:10:57Z
18,CoffeeScript,hubot-scripts,3533,1919,CoffeeScript,https://github.com/github/hubot-scripts,github,0,2017-07-10T16:06:49Z
19,CoffeeScript,wintersmith,3498,340,CoffeeScript,https://github.com/jnordberg/wintersmith,jnordberg,16,2021-07-15T14:10:26Z
20,CoffeeScript,dispatch-proxy,3462,248,CoffeeScript,https://github.com/alexkirsz/dispatch-proxy,alexkirsz,30,2022-05-01T20:03:10Z
21,CoffeeScript,pagedraw,3440,460,CoffeeScript,https://github.com/Pagedraw/pagedraw,Pagedraw,12,2023-01-12T01:49:13Z
