platform,username,repo_name,codecov_used,coverall_used,language
github,sweetalert2,sweetalert2,False,True,JavaScript
github,ladjs,superagent,True,False,JavaScript
github,mdx-js,mdx,True,False,JavaScript
github,dvajs,dva,True,True,JavaScript
github,pouchdb,pouchdb,False,True,JavaScript
github,commitizen,cz-cli,True,False,JavaScript
github,infernojs,inferno,False,True,JavaScript
github,yabwe,medium-editor,False,True,JavaScript
github,HumanSignal,label-studio,True,False,JavaScript
github,frappe,charts,False,True,JavaScript
github,acdlite,recompose,True,False,JavaScript
github,moment,luxon,True,True,JavaScript
github,knex,knex,False,True,JavaScript
github,you-dont-need,You-Dont-Need-Lodash-Underscore,False,True,JavaScript
github,motdotla,dotenv,True,True,JavaScript
github,node-red,node-red,False,True,JavaScript
github,mysqljs,mysql,False,True,JavaScript
github,amark,gun,False,True,JavaScript
github,appium,appium,True,True,JavaScript
github,decaporg,decap-cms,True,False,JavaScript
github,emotion-js,emotion,True,False,JavaScript
github,liriliri,eruda,True,False,JavaScript
github,markdown-it,markdown-it,False,True,JavaScript
github,hubotio,hubot,False,True,JavaScript
github,bower,bower,False,True,JavaScript
github,OptimalBits,bull,False,True,JavaScript
github,riot,riot,False,True,JavaScript
github,bootstrap-vue,bootstrap-vue,True,False,JavaScript
github,shelljs,shelljs,True,False,JavaScript
github,josdejong,mathjs,True,True,JavaScript
github,diegomura,react-pdf,True,False,JavaScript
github,NodeBB,NodeBB,False,True,JavaScript
github,http-party,node-http-proxy,True,False,JavaScript
github,avwo,whistle,True,False,JavaScript
github,ladjs,supertest,True,False,JavaScript
github,strongloop,loopback,False,True,JavaScript
github,myliang,x-spreadsheet,True,False,JavaScript
github,you-dont-need,You-Dont-Need-Momentjs,False,True,JavaScript
github,rwaldron,johnny-five,False,True,JavaScript
github,marko-js,marko,True,True,JavaScript
github,pinojs,pino,False,True,JavaScript
github,redux-form,redux-form,True,False,JavaScript
github,graphql,dataloader,True,True,JavaScript
github,fengyuanchen,cropperjs,True,False,JavaScript
github,wix,Detox,False,True,JavaScript
github,restify,node-restify,False,True,JavaScript
github,kefranabg,readme-md-generator,True,False,JavaScript
github,openlayers,openlayers,False,True,JavaScript
github,welldone-software,why-did-you-render,False,True,JavaScript
github,mapbox,mapbox-gl-js,False,True,JavaScript
github,reactstrap,reactstrap,False,True,JavaScript
github,paulmillr,chokidar,False,True,JavaScript
github,Netflix,falcor,False,True,JavaScript
github,r-spacex,SpaceX-API,True,True,JavaScript
github,react-dropzone,react-dropzone,True,True,JavaScript
github,AFNetworking,AFNetworking,True,True,Objective-C
github,SDWebImage,SDWebImage,True,False,Objective-C
github,SnapKit,Masonry,False,True,Objective-C
github,gnachman,iTerm2,False,True,Objective-C
github,CocoaLumberjack,CocoaLumberjack,True,True,Objective-C
github,Instagram,IGListKit,False,True,Objective-C
github,dzenbot,DZNEmptyDataSet,True,False,Objective-C
github,Hammerspoon,hammerspoon,True,False,Objective-C
github,jessesquires,JSQMessagesViewController,True,False,Objective-C
github,huggingface,transformers,True,False,Python
github,pytorch,pytorch,True,False,Python
github,home-assistant,core,True,False,Python
github,pallets,flask,True,False,Python
github,ansible,ansible,True,True,Python
github,keras-team,keras,True,False,Python
github,python,cpython,True,False,Python
github,scikit-learn,scikit-learn,True,True,Python
github,localstack,localstack,False,True,Python
github,psf,requests,True,False,Python
github,commaai,openpilot,True,False,Python
github,Textualize,rich,True,False,Python
github,pandas-dev,pandas,True,False,Python
github,faif,python-patterns,True,False,Python
github,psf,black,False,True,Python
github,getsentry,sentry,True,True,Python
github,geekan,MetaGPT,True,False,Python
github,mitmproxy,mitmproxy,True,True,Python
github,apache,airflow,True,True,Python
github,httpie,cli,True,False,Python
github,certbot,certbot,True,True,Python
github,python-poetry,poetry,True,False,Python
github,nicolargo,glances,False,True,Python
github,freqtrade,freqtrade,False,True,Python
github,python-telegram-bot,python-telegram-bot,True,True,Python
github,keon,algorithms,False,True,Python
github,locustio,locust,True,False,Python
github,celery,celery,True,True,Python
github,Textualize,textual,True,False,Python
github,tornadoweb,tornado,True,True,Python
github,mindsdb,mindsdb,False,True,Python
github,saleor,saleor,True,False,Python
github,jina-ai,jina,True,False,Python
github,ultralytics,ultralytics,True,False,Python
github,zulip,zulip,True,True,Python
github,matplotlib,matplotlib,True,True,Python
github,bokeh,bokeh,True,False,Python
github,cookiecutter,cookiecutter,True,False,Python
github,AtsushiSakai,PythonRobotics,True,True,Python
github,pyg-team,pytorch_geometric,True,False,Python
github,mkdocs,mkdocs,True,True,Python
github,pydantic,pydantic,True,False,Python
github,magic-wormhole,magic-wormhole,True,False,Python
github,RasaHQ,rasa,False,True,Python
github,sanic-org,sanic,True,False,Python
github,ManimCommunity,manim,True,False,Python
github,Delgan,loguru,True,True,Python
github,spotify,luigi,True,True,Python
github,quantopian,zipline,False,True,Python
github,joke2k,faker,False,True,Python
github,mlflow,mlflow,True,False,Python
github,wagtail,wagtail,True,True,Python
github,kivy,kivy,False,True,Python
github,onnx,onnx,True,False,Python
github,frappe,erpnext,True,True,Python
github,binux,pyspider,False,True,Python
github,ipython,ipython,True,True,Python
github,paperless-ngx,paperless-ngx,True,True,Python
github,Ciphey,Ciphey,True,False,Python
github,pytorch,vision,True,False,Python
github,piskvorky,gensim,False,True,Python
github,aws,aws-cli,True,True,Python
github,tiangolo,sqlmodel,True,False,Python
github,beetbox,beets,True,True,Python
github,bloomberg,memray,True,False,Python
github,scipy,scipy,True,False,Python
github,jina-ai,clip-as-service,True,False,Python
github,redis,redis-py,True,False,Python
github,donnemartin,awesome-aws,True,False,Python
